Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
rctiPlusLogin,Chrome 87.0.4280.66,,,2021-04-28 14:01:37,2021-04-28 14:02:17,40.688s,PASSED
,,,,,,,
Test Cases/Request Demo/LoginRCTI,Chrome 87.0.4280.66,,,2021-04-28 14:01:40,2021-04-28 14:02:17,36.902s,PASSED
"runFeatureFile(""./Include/features/RequestDemo/rctiPlusLogin.feature"")",Chrome 87.0.4280.66,,,2021-04-28 14:01:42,2021-04-28 14:02:17,35.687s,PASSED
