Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
rctiPlusLogin,Chrome 87.0.4280.66,,,2021-04-28 14:25:49,2021-04-28 14:26:26,37.299s,PASSED
,,,,,,,
Test Cases/Request Demo/LoginRCTI,Chrome 87.0.4280.66,,,2021-04-28 14:25:52,2021-04-28 14:26:26,34.247s,PASSED
"runFeatureFile(""./Include/features/RequestDemo/rctiPlusLogin.feature"")",Chrome 87.0.4280.66,,,2021-04-28 14:25:52,2021-04-28 14:26:26,33.408s,PASSED
