Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
rctiPlusLogin,Chrome 87.0.4280.66,,,2021-04-28 12:49:05,2021-04-28 12:49:38,32.687s,PASSED
,,,,,,,
Test Cases/Request Demo/LoginRCTI,Chrome 87.0.4280.66,,,2021-04-28 12:49:07,2021-04-28 12:49:38,30.537s,PASSED
"runFeatureFile(""./Include/features/RequestDemo/rctiPlusLogin.feature"")",Chrome 87.0.4280.66,,,2021-04-28 12:49:08,2021-04-28 12:49:38,29.996s,PASSED
