Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
rctiPlusLogin,Chrome 87.0.4280.66,,,2021-04-28 13:49:28,2021-04-28 13:49:53,25.359s,FAILED
,,,,,,,
Test Cases/Request Demo/LoginRCTI,Chrome 87.0.4280.66,,,2021-04-28 13:49:31,2021-04-28 13:49:53,22.328s,FAILED
"runFeatureFile(""./Include/features/RequestDemo/rctiPlusLogin.feature"")",Chrome 87.0.4280.66,,,2021-04-28 13:49:32,2021-04-28 13:49:53,21.835s,FAILED
