Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
rctiPlusLogin,Chrome 87.0.4280.66,,,2021-04-28 13:50:07,2021-04-28 13:50:38,30.961s,FAILED
,,,,,,,
Test Cases/Request Demo/LoginRCTI,Chrome 87.0.4280.66,,,2021-04-28 13:50:10,2021-04-28 13:50:38,28.608s,FAILED
"runFeatureFile(""./Include/features/RequestDemo/rctiPlusLogin.feature"")",Chrome 87.0.4280.66,,,2021-04-28 13:50:10,2021-04-28 13:50:38,27.980s,FAILED
